paper_id,paper,dataset_subset,task,split,label_definition,model,metric,published_value,our_compatible_value,comparison_category,direct_comparison_permitted,evidence_location,caveat
LIT-013,Early Fault Detection on CMAPSS with Unsupervised LSTM Autoencoders,FD001; FD002; FD003; FD004,anomaly/degradation detection,within-trajectory 85/15 training/evaluation; 20% of healthy windows used for validation,first 90% normal; final 10% degraded,three-layer LSTM autoencoder; reconstruction threshold; persistence,precision,0.374,0.7065337763,B,False,"University of Alcala author manuscript, Sec. V-VI, Table 3 (pp. 9-11)","Category B non-equivalence: both use a final-10% proxy, but training/split, window, threshold, persistence, operating-context, and evaluation protocols differ. Do not rank the systems."
LIT-013,Early Fault Detection on CMAPSS with Unsupervised LSTM Autoencoders,FD001; FD002; FD003; FD004,anomaly/degradation detection,within-trajectory 85/15 training/evaluation; 20% of healthy windows used for validation,first 90% normal; final 10% degraded,three-layer LSTM autoencoder; reconstruction threshold; persistence,recall,0.799,0.5789473684,B,False,"University of Alcala author manuscript, Sec. V-VI, Table 3 (pp. 9-11)","Category B non-equivalence: both use a final-10% proxy, but training/split, window, threshold, persistence, operating-context, and evaluation protocols differ. Do not rank the systems."
LIT-013,Early Fault Detection on CMAPSS with Unsupervised LSTM Autoencoders,FD001; FD002; FD003; FD004,anomaly/degradation detection,within-trajectory 85/15 training/evaluation; 20% of healthy windows used for validation,first 90% normal; final 10% degraded,three-layer LSTM autoencoder; reconstruction threshold; persistence,specificity,0.982,0.9675602889,B,False,"University of Alcala author manuscript, Sec. V-VI, Table 3 (pp. 9-11)","Category B non-equivalence: both use a final-10% proxy, but training/split, window, threshold, persistence, operating-context, and evaluation protocols differ. Do not rank the systems."
LIT-013,Early Fault Detection on CMAPSS with Unsupervised LSTM Autoencoders,FD001; FD002; FD003; FD004,anomaly/degradation detection,within-trajectory 85/15 training/evaluation; 20% of healthy windows used for validation,first 90% normal; final 10% degraded,three-layer LSTM autoencoder; reconstruction threshold; persistence,F1,0.510,0.6364089776,B,False,"University of Alcala author manuscript, Sec. V-VI, Table 3 (pp. 9-11)","Category B non-equivalence: both use a final-10% proxy, but training/split, window, threshold, persistence, operating-context, and evaluation protocols differ. Do not rank the systems."
LIT-014,RAVEN: Unsupervised Anomaly Detection in Multivariate Time Series through Residual Modeling and Autoencoder Reconstruction,Real jet-engine test data plus simulation context,residual anomaly,NR,NR,Regresses operating effects then models healthy residuals with LSTM-AE; event-level evaluation,NR,NR,NR,D,False,NR,Not the same FD002 benchmark
LIT-015,Autoencoder-Based Anomaly Detection for Turbofan Engine Sensors Data,FD001,anomaly/degradation detection,NR,NR,Autoencoder reconstruction error with a 95th-percentile threshold,NR,NR,NR,C,False,NR,Lower-quality venue; labels and operational meaning of detected points are weak
LIT-016,Anomaly Detection in Asset Degradation Process Using Variational Autoencoder,Industrial degradation monitoring,degradation anomaly,NR,NR,Uses VAE reconstruction for degradation monitoring and an RUL-based normality boundary,NR,NR,NR,D,False,NR,Not a C-MAPSS FD002 study
LIT-017,Gas Turbine Anomaly Detection under Time-Varying Operation Conditions Based on Spectra Alignment and Self-Adaptive Normalization,Gas-turbine vibration,condition-aware prognostics or monitoring,NR,NR,Addresses condition variation with alignment and self-adaptive normalization,NR,NR,NR,D,False,NR,Different sensors and asset context
LIT-018,Multiform Informed Machine Learning Based on Piecewise and Weibull for Engine RUL Prediction,C-MAPSS,condition-aware prognostics or monitoring,NR,NR,Clusters diverse operating conditions with K-means and normalizes by cluster,NR,NR,NR,C,False,NR,RUL rather than anomaly detection
LIT-019,Condition-Aware AI for Predictive Maintenance: Dual-Attention CNN-GRU with Per-Regime Scaling,FD002,condition-aware prognostics or monitoring,NR,NR,Uses unsupervised operating-regime clustering and per-regime scaling,NR,NR,NR,C,False,NR,RUL rather than anomaly detection
LIT-020,Domain Adaptation via Alignment of Operation Profile for Remaining Useful Lifetime Prediction,N-CMAPSS,domain-adapted RUL prediction,NR,NR,Aligns operating profiles for cross-condition generalization,NR,NR,NR,C,False,NR,Different dataset and RUL endpoint
LIT-021,A Self-Organizing Map and a Normalizing Multi-Layer Perceptron Approach to Baselining in Prognostics under Dynamic Regimes,Dynamic operating regimes including C-MAPSS context,condition-aware prognostics or monitoring,NR,NR,Learns operating-condition baselines before degradation assessment,NR,NR,NR,C,False,NR,Prognostics-oriented
LIT-022,A Comparison of Residual-based Methods on Fault Detection,Industrial multivariate systems,residual anomaly,NR,NR,Compares autoencoder residuals with input-output models that condition on operating variables,NR,NR,NR,D,False,NR,Not the FD002 study
LIT-023,Isolation Forest,General tabular anomaly detection,classical baseline,NR,NR,Isolation-based anomaly scoring with subsampling,NR,NR,NR,D,False,NR,Window flattening discards temporal order
LIT-024,LOF: Identifying Density-Based Local Outliers,General anomaly detection,classical baseline,NR,NR,Local-density deviation score,NR,NR,NR,D,False,NR,Standard LOF is not an unseen-data novelty detector unless configured appropriately
LIT-025,Estimating the Support of a High-Dimensional Distribution,General one-class learning,classical baseline,NR,NR,One-class SVM learns the support of normal data,NR,NR,NR,D,False,NR,Sensitive to scaling and hyperparameters
LIT-026,Detecting Spacecraft Anomalies Using LSTMs and Nonparametric Dynamic Thresholding,NASA spacecraft telemetry,dynamic threshold,NR,NR,Couples temporal model errors with a dynamic nonparametric threshold,NR,NR,NR,D,False,NR,Different telemetry benchmark and supervised incident context
LIT-027,Anomaly Detection in Streams with Extreme Value Theory,Streaming time series,dynamic threshold,NR,NR,SPOT controls tail risk without a fixed distributional threshold,NR,NR,NR,D,False,NR,Originally univariate; multivariate score must be aggregated first
LIT-028,Robust Anomaly Detection for Multivariate Time Series through Stochastic Recurrent Neural Network,Multivariate time series,deep baseline,NR,NR,OmniAnomaly uses a stochastic recurrent latent-variable model,NR,NR,NR,D,False,NR,High complexity and benchmark protocol differences
LIT-029,USAD: UnSupervised Anomaly Detection on Multivariate Time Series,Multivariate time series,deep baseline,NR,NR,Adversarially trained autoencoder ensemble,NR,NR,NR,D,False,NR,Not condition-aware and can be evaluation-protocol sensitive
LIT-030,Multivariate Time-series Anomaly Detection via Graph Attention Network,Multivariate time series,deep baseline,NR,NR,MTAD-GAT models temporal and feature dependencies,NR,NR,NR,D,False,NR,More complex than LSTM-AE and not guaranteed better
LIT-031,TranAD: Deep Transformer Networks for Anomaly Detection in Multivariate Time Series Data,Multivariate time series,deep baseline,NR,NR,Transformer-based reconstruction with adversarial training,NR,NR,NR,D,False,NR,Reported scores may depend on evaluation conventions
LIT-032,Anomaly Transformer: Time Series Anomaly Detection with Association Discrepancy,Multivariate time series,deep baseline,NR,NR,Uses association discrepancy for anomaly scoring,NR,NR,NR,D,False,NR,Complex and benchmark-dependent
LIT-033,Memorizing Normality to Detect Anomaly: Memory-augmented Deep Autoencoder,General anomaly detection,deep baseline,NR,NR,Restricts reconstruction to learned normal prototypes,NR,NR,NR,D,False,NR,Not tailored to C-MAPSS sequences
LIT-034,An Evaluation of Anomaly Detection and Diagnosis in Multivariate Time Series,Multiple multivariate benchmarks,evaluation,NR,NR,Finds scoring functions can matter more than model architecture,NR,NR,NR,D,False,NR,Not a C-MAPSS-specific comparison
LIT-035,Precision and Recall for Time Series,Range-based time-series anomalies,evaluation,NR,NR,Defines range-aware precision and recall,NR,NR,NR,D,False,NR,Requires choices about range weighting
LIT-036,Towards a Rigorous Evaluation of Time-Series Anomaly Detection,Time-series anomaly benchmarks,evaluation,NR,NR,Shows point adjustment can make random scores look state of the art,NR,NR,NR,D,False,NR,Focuses benchmark evaluation rather than PHM cost
LIT-037,Volume Under the Surface: A New Accuracy Evaluation Measure for Time-Series Anomaly Detection,Time-series anomaly benchmarks,evaluation,NR,NR,Provides range-aware ROC/PR surfaces across timing tolerances,NR,NR,NR,D,False,NR,More complex to communicate than raw event metrics
LIT-038,Anomaly Detection in Time Series: A Comprehensive Evaluation,Large multi-domain benchmark,evaluation,NR,NR,Finds no detector family consistently dominates,NR,NR,NR,D,False,NR,Not multivariate C-MAPSS-specific
LIT-039,Current Time Series Anomaly Detection Benchmarks are Flawed and are Creating the Illusion of Progress,Popular anomaly benchmarks,evaluation,NR,NR,"Documents benchmark flaws, mislabeled/trivial anomalies and unreliable rankings",NR,NR,NR,D,False,NR,Not specifically an FD002 analysis
LIT-040,Navigating the Metric Maze: A Taxonomy of Evaluation Metrics for Anomaly Detection in Time Series,Time-series anomaly metrics,evaluation,NR,NR,Taxonomizes metric behavior and domain trade-offs,NR,NR,NR,D,False,NR,Metric choice still requires operational semantics
LIT-041,A Unified Approach to Interpreting Model Predictions,General supervised models,explainability,NR,NR,Introduces SHAP feature attributions,NR,NR,NR,D,False,NR,Does not guarantee fidelity to a different black-box model through a surrogate
LIT-042,A Survey on Explainable Anomaly Detection,Explainable anomaly detection,explainability,NR,NR,Organizes explanation types and fidelity issues,NR,NR,NR,D,False,NR,Survey; does not validate one project explanation
LIT-043,Anomaly Detection and Diagnosis in Manufacturing Systems,Manufacturing multivariate systems,explainability,NR,NR,Uses variable-wise residual/contribution ideas for diagnosis,NR,NR,NR,D,False,NR,Different industrial assets
LIT-044,ReX: A Framework for Incorporating Temporal Information in Model-Agnostic Local Explanation Techniques,Temporal ML models,explainability,NR,NR,Adapts local surrogate sampling and features to temporal inputs,NR,NR,NR,D,False,NR,Not an anomaly-specific or C-MAPSS study
LIT-045,Outlier Ensembles: An Introduction,General anomaly detection,ensemble,NR,NR,Studies aggregation of heterogeneous outlier scores,NR,NR,NR,D,False,NR,Ensembles can be degraded by correlated or weak detectors
LIT-046,Theoretical Foundations and Algorithms for Outlier Ensembles,General anomaly detection,ensemble,NR,NR,Formalizes outlier-score combination and normalization,NR,NR,NR,D,False,NR,Theory is not a guarantee of benefit on FD002
LIT-047,A Multiple Classifier System for Prognostics of Aircraft Engines,C-MAPSS,ensemble,NR,NR,Demonstrates model/decision fusion in turbofan prognostics,NR,NR,NR,C,False,NR,RUL/prognostics endpoint rather than unsupervised anomaly alerting
LIT-048,Adaptive Model Pooling for Online Deep Anomaly Detection from a Complex Evolving Data Stream,Streaming datasets with concept drift,online drift,NR,NR,ARCUS separates concept-driven inference from drift-aware model-pool updates,NR,NR,NR,D,False,NR,Not C-MAPSS and substantially more complex
LIT-049,Autoencoder-based Anomaly Detection in Streaming Data with Incremental Learning and Concept Drift Adaptation,Streaming imbalanced datasets,online drift,NR,NR,Combines incremental AE learning with explicit drift detection,NR,NR,NR,D,False,NR,Not a turbofan benchmark
LIT-050,The Impact of Neglecting Feature Scaling in K-means Clustering,K-means benchmarks,feature scaling,NR,NR,Demonstrates that feature scale changes Euclidean cluster assignments and quality,NR,NR,NR,D,False,NR,Not C-MAPSS-specific
LIT-051,Aero-Engine Fault Detection with an LSTM Auto-Encoder and Self-Attention Mechanism,Aero-engine multivariate data,aeroengine fault detection,NR,NR,Combines LSTM-AE and self-attention for fault detection,NR,NR,NR,C,False,NR,Dataset/protocol not identical to FD002 project
LIT-052,Bifurcated Remaining Useful Life Prediction: A Hybrid Prognostic Framework,C-MAPSS,RUL prediction,NR,NR,Uses an LSTM autoencoder trained on nominal data with an RUL>150 state boundary,NR,NR,NR,C,False,NR,RUL endpoint and 2026 publication; not direct detector benchmark
LIT-053,User's Guide for the Commercial Modular Aero-Propulsion System Simulation (C-MAPSS),C-MAPSS simulator,dataset/simulator documentation,NR,NR,"Documents the simulator architecture, variables, interfaces, and intended use behind C-MAPSS-generated studies.",NR,NR,NR,C,False,NR,"A simulator guide, not an anomaly-detection benchmark or source of cycle-level degradation labels."
LIT-054,Aircraft Engine Run-to-Failure Dataset under Real Flight Conditions for Prognostics and Diagnostics,N-CMAPSS,dataset/provenance,NR,NR,Introduces N-CMAPSS with realistic flight profiles and component-level degradation for prognostics and diagnostics.,NR,NR,NR,C,False,NR,N-CMAPSS is not interchangeable with the older FD002 benchmark and is substantially larger.
LIT-055,Anomaly Detection and Fault Disambiguation in Large Flight Data: A Multi-modal Deep Auto-encoder Approach,Aircraft electromechanical actuator; multiple operating conditions,aerospace anomaly,NR,NR,Trains a deep autoencoder on nominal multi-sensor windows; uses total and sensor-wise reconstruction error for detection and disambiguation.,NR,NR,NR,D,False,NR,Not FD002 and faults are experimentally defined rather than gradual run-to-failure proxy labels.
LIT-056,Hybrid Deep Fault Detection and Isolation: Combining Deep Neural Networks and System Performance Models,C-MAPSS dynamic model; healthy plus four fault conditions,residual anomaly,NR,NR,Combines operating inputs and physics-model residual or calibrated virtual variables with AE/VAE/HELM/OCSVM diagnostics.,NR,NR,NR,C,False,NR,"Uses a separately generated fault-diagnostics dataset, not FD002 gradual-degradation proxies."
LIT-057,Operating Condition-Invariant Neural Network-based Prognostics Methods Applied on Turbofan Aircraft Engines,C-MAPSS TEDS and PHM2008,condition-aware prognostics or monitoring,NR,NR,Studies preprocessing and neural architectures with the goal of reducing operating-condition dependence.,NR,NR,NR,C,False,NR,RUL prediction rather than anomaly alerting; timeliness and accuracy trade-offs use different endpoints.
LIT-058,Data-Driven Prognostics and Diagnostics of Industrial Machinery: A Turbofan Engine Case Study,N-CMAPSS,prognostics/diagnostics data engineering,NR,NR,Examines efficient organization and transformation of large multivariate run-to-failure data for prognostics and diagnostics workflows.,NR,NR,NR,C,False,NR,Focus is data organization and RUL workflow rather than a directly comparable anomaly detector.
LIT-059,Deep Autoencoding Gaussian Mixture Model for Unsupervised Anomaly Detection,General high-dimensional anomaly benchmarks,deep baseline,NR,NR,"Jointly learns an autoencoder representation, reconstruction features, and a Gaussian-mixture energy model.",NR,NR,NR,D,False,NR,Tabular benchmark method; temporal order and operating regimes require additional design.
LIT-060,Deep One-Class Classification,General one-class anomaly detection,deep baseline,NR,NR,"Introduces Deep SVDD, optimizing a neural representation for a compact nominal-data hypersphere.",NR,NR,NR,D,False,NR,Original experiments are image-centric; architecture constraints and collapse prevention matter.
LIT-061,MAD-GAN: Multivariate Anomaly Detection for Time Series Data with Generative Adversarial Networks,SWaT and WADI cyber-physical systems,deep baseline,NR,NR,Uses LSTM GAN components and a combined discrimination/reconstruction score for multivariate sequences.,NR,NR,NR,D,False,NR,GAN instability and cyberattack intervals differ from gradual turbofan degradation.
LIT-062,A Deep Neural Network for Unsupervised Anomaly Detection and Diagnosis in Multivariate Time Series Data,Multivariate industrial time series,deep baseline,NR,NR,MSCRED models multi-scale inter-sensor signature matrices with a convolutional recurrent encoder-decoder.,NR,NR,NR,D,False,NR,Computationally heavier and evaluates benchmarks with different anomaly intervals.
LIT-063,Graph Neural Network-Based Anomaly Detection in Multivariate Time Series,High-dimensional sensor time series,deep baseline,NR,NR,"GDN learns inter-sensor graph structure and predicts expected behavior, enabling anomaly scoring and variable-level interpretation.",NR,NR,NR,D,False,NR,Learned graphs are not automatically causal and benchmark protocols differ.
LIT-064,Timeseries Anomaly Detection using Temporal Hierarchical One-Class Network,General time-series anomaly benchmarks,deep baseline,NR,NR,THOC combines multi-scale dilated recurrent features with hierarchical one-class objectives.,NR,NR,NR,D,False,NR,High model complexity and no condition-aware FD002 validation.
LIT-065,Multivariate Time Series Anomaly Detection and Interpretation Using Hierarchical Inter-Metric and Temporal Embedding,Multivariate time-series benchmarks,deep baseline,NR,NR,InterFusion jointly models inter-metric and temporal dependencies with hierarchical stochastic latent variables.,NR,NR,NR,D,False,NR,Model and interpretation complexity can obscure causal attribution and raise compute cost.
LIT-066,Time Series Anomaly Detection Using Generative Adversarial Networks,Univariate time-series benchmarks,deep baseline,NR,NR,"TadGAN uses LSTM generators/critics, cycle consistency, reconstruction, and discriminator signals.",NR,NR,NR,D,False,NR,Primarily univariate and computationally more fragile than classical or AE controls.
LIT-067,Unsupervised Anomaly Detection via Variational Auto-Encoder for Seasonal KPIs in Web Applications,Seasonal web KPIs,deep baseline,NR,NR,"Donut modifies VAE training and reconstruction for missing, seasonal, unlabeled KPI data.",NR,NR,NR,D,False,NR,Univariate seasonal KPI assumptions do not match multivariate run-to-failure engines.
LIT-068,Deep Semi-Supervised Anomaly Detection,General semi-supervised anomaly detection,deep baseline,NR,NR,Deep SAD extends one-class representation learning to exploit small sets of labeled anomalies.,NR,NR,NR,D,False,NR,FD002 has no trustworthy cycle-level anomaly labels for supervised fitting.
LIT-069,LUNAR: Unifying Local Outlier Detection Methods via Graph Neural Networks,Tabular anomaly benchmarks,classical extension,NR,NR,"Frames KNN, LOF, and DBSCAN as message passing and learns a robust local-neighborhood anomaly ranker.",NR,NR,NR,D,False,NR,Feature-based rather than sequential and requires trainable supervision signals constructed from neighborhoods.
LIT-070,Detecting Multivariate Time Series Anomalies with Zero Known Label,Multivariate time-series benchmarks,deep baseline,NR,NR,MTGFlow uses a dynamic graph and entity-aware normalizing flow without assuming a perfectly clean nominal training set.,NR,NR,NR,D,False,NR,Complexity is high and benchmark labels are unlike gradual FD002 onset proxies.
LIT-071,Time Series Anomaly Detection with Multiresolution Ensemble Decoding,Time-series anomaly benchmarks,deep baseline,NR,NR,RAMED uses recurrent autoencoders with multiple decoder resolutions and coarse-to-fine fusion to reduce error accumulation.,NR,NR,NR,D,False,NR,More complex than the registered LSTM-AE and not condition-aware.
LIT-072,DCdetector: Dual Attention Contrastive Representation Learning for Time Series Anomaly Detection,Time-series anomaly benchmarks,deep baseline,NR,NR,Uses multi-scale dual attention and pure contrastive learning rather than reconstruction.,NR,NR,NR,D,False,NR,Reported rankings can depend on evaluation conventions; model is not needed to answer the current causal preprocessing question.
LIT-073,TimeSeriesBench: An Industrial-Grade Benchmark for Time Series Anomaly Detection Models,Industrial-scale time-series anomaly evaluation,evaluation,NR,NR,"Evaluates unified-model, unseen-series, and practical metric settings across more than 168 configurations.",NR,NR,NR,D,False,NR,Software-system time series and preprint status; not a direct FD002 comparison.
LIT-074,TSB-UAD: An End-to-End Benchmark Suite for Univariate Time-Series Anomaly Detection,Large univariate TSAD benchmark suite,evaluation,NR,NR,Standardizes many datasets and methods in a reproducible end-to-end benchmark.,NR,NR,NR,D,False,NR,Univariate benchmark; FD002 is multivariate and engine-grouped.
LIT-075,TimeEval: A Benchmarking Toolkit for Time Series Anomaly Detection Algorithms,Reproducible TSAD experimentation,evaluation,NR,NR,"Provides an extensible automated framework for comparable detector, dataset, runtime, and metric experiments.",NR,NR,NR,D,False,NR,A toolkit does not solve FD002 label ambiguity or define engine-level operational metrics.
LIT-076,Evaluating Real-time Anomaly Detection Algorithms: The Numenta Anomaly Benchmark,Streaming univariate time series,evaluation,NR,NR,Defines time-sensitive anomaly windows and rewards early detection while penalizing false positives.,NR,NR,NR,D,False,NR,Univariate streaming benchmark and application-weighted score are not directly transferable.
LIT-077,Local Evaluation of Time Series Anomaly Detection Algorithms,Event/range anomaly evaluation,evaluation,NR,NR,Introduces affiliation precision/recall using distances between predicted and true event sets with local interpretation.,NR,NR,NR,D,False,NR,"Still requires meaningful labeled event ranges, which FD002 does not provide directly."
LIT-078,PATE: Proximity-Aware Time Series Anomaly Evaluation,Time-series anomaly intervals,evaluation,NR,NR,Weights early and delayed detections using buffer zones and provides proximity-aware area under precision-recall.,NR,NR,NR,D,False,NR,Parameters and interval semantics must be fixed before seeing test results.
LIT-079,Do You Know Existing Accuracy Metrics Overrate Time-Series Anomaly Detections?,Time-series anomaly metrics,evaluation,NR,NR,Shows common range and point-adjusted metrics can overrate imprecise detections; proposes enhanced temporal precision/recall.,NR,NR,NR,D,False,NR,No metric removes the need to define the operational meaning of an event.
