paper_id,title,dataset_subset,task,split,engine_disjoint,learning_status,label_definition,model,metric,published_value,our_compatible_value,comparison_category,direct_comparison_permitted,evidence_location,caveat
LIT-006,Multi-Sensor Prognostics using an Unsupervised Health Index based on LSTM Encoder-Decoder,NASA C-MAPSS turbofan plus milling and industrial pulverizer / single-condition 100-train/100-test C-MAPSS set (FD001-equivalent),health-index construction and RUL estimation,"80 training engines fit, 20 training engines tune via truncation; 100 official test engines evaluate",True,unsupervised healthy reconstruction followed by similarity-based RUL,continuous reconstruction-error health index; no binary onset,LSTM encoder-decoder plus linear health-index mapping and trajectory matching,accuracy; false_negative_rate; false_positive_rate; mae_cycles; mape_1; mape_2; mse_cycles_squared; timeliness_score,timeliness_score=256 (FD001-equivalent C-MAPSS); accuracy=0.67 (FD001-equivalent C-MAPSS); mae_cycles=10 (FD001-equivalent C-MAPSS); mse_cycles_squared=164 (FD001-equivalent C-MAPSS); mape_1=0.18 (FD001-equivalent C-MAPSS); mape_2=0.05 (FD001-equivalent C-MAPSS); false_positive_rate=0.13 (FD001-equivalent C-MAPSS); false_negative_rate=0.2 (FD001-equivalent C-MAPSS),NR; no Category A metric alignment,C,False,LIT-006-V01 p.7 Table 1; LIT-006-V02 p.7 Table 1; LIT-006-V03 p.7 Table 1; LIT-006-V04 p.7 Table 1; LIT-006-V05 p.7 Table 1; LIT-006-V06 p.7 Table 1; LIT-006-V07 p.7 Table 1; LIT-006-V08 p.7 Table 1,Official-test RUL results are contextual and cannot be compared with FD002 proxy anomaly metrics.
LIT-003,Performance Benchmarking and Analysis of Prognostic Methods for CMAPSS Datasets,NASA C-MAPSS benchmark family / all C-MAPSS/PHM08 datasets,benchmarking and review,review of more than 70 publications and challenge baselines,various,methodological review,discusses health-state segmentation but defines no universal anomaly onset,multiple prognostic models,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,C,False,Full methodology/result/limitation sections; source SHA-256 25c158e4a97fcacc797c49a0f1b23a242d13f3a55d5699ee8ca5d72d10001305,A RUL benchmark review; no protocol-equivalent FD002 anomaly result.
LIT-004,Review and Analysis of Algorithmic Approaches Developed for Prognostics on CMAPSS Dataset,NASA C-MAPSS benchmark family / all C-MAPSS datasets,prognostic-method review,review and workflow guidance,various,methodological review,no common onset,multiple,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,C,False,Full methodology/result/limitation sections; source SHA-256 5b42232526e3f3ffb7167a712f609c5ebc49b58d58d4536929ec18ffbc466c74,"Review evidence establishes protocol pitfalls, not directly comparable performance."
LIT-001,Damage Propagation Modeling for Aircraft Engine Run-to-Failure Simulation,C-MAPSS simulator-generated engine trajectories / dataset-generation foundation rather than FD001-FD004 evaluation,damage-propagation simulation,simulation scenarios,not applicable,physics/simulation model,randomly selected deterioration start under exponential flow/efficiency loss,C-MAPSS simulation,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,C,False,Full methodology/result/limitation sections; source SHA-256 65c61129bf2ab89ff2d97aa8ae7371136dc3bb386a885c1bce358142c9a315ad,Foundational simulator evidence cannot serve as a detector comparator.
LIT-005,LSTM-based Encoder-Decoder for Multi-sensor Anomaly Detection,five public/industrial multivariate datasets / not C-MAPSS FD002,multisensor anomaly detection,dataset-specific normal training and labeled evaluation,varies,unsupervised/semi-supervised normal-only reconstruction,dataset labels/events,LSTM encoder-decoder,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,D,False,Full methodology/result/limitation sections; source SHA-256 d4c506d82061d0eb532a7c172682c7c8c1803705a8dbd9561fc8980927d9b3cd,Generic method paper without FD002 evaluation.
LIT-026,Detecting Spacecraft Anomalies Using LSTMs and Nonparametric Dynamic Thresholding,NASA SMAP and MSL telemetry / not C-MAPSS,spacecraft telemetry anomaly detection,mission telemetry train/test partitions,NR,sequence prediction plus unsupervised dynamic threshold,expert-labeled events,LSTM forecaster,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,D,False,Full methodology/result/limitation sections; source SHA-256 bd5e2eb0706d2278eec1874dd32700fbd0d929e9c7208ed33c28ae5ace305836,Spacecraft telemetry event detection is methodological context only.
LIT-034,An Evaluation of Anomaly Detection and Diagnosis in Multivariate Time Series,multivariate cyber-physical-system benchmarks / not C-MAPSS,anomaly detection and diagnosis evaluation,published benchmark splits,varies,unsupervised and semi-supervised methods,dataset labels,ten reconstruction/prediction models,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,D,False,Full methodology/result/limitation sections; source SHA-256 5f199eef5306d1853d726c69e064207c1b6e056e7c549f84512d878618798715,General benchmark evidence; metrics are not transferable as direct FD002 comparisons.
LIT-036,Towards a Rigorous Evaluation of Time-Series Anomaly Detection,time-series anomaly benchmarks / not C-MAPSS,evaluation methodology,benchmark protocols,varies,method-independent evaluation,dataset labels,trained and untrained detector baselines,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,D,False,Full methodology/result/limitation sections; source SHA-256 153966cc6b9ccf4d19e20a71430e865aaa540858db605f8aa88e28c4e062b8bb,No FD002 experiment; supports only evaluation-design claims.
LIT-055,Anomaly Detection and Fault Disambiguation in Large Flight Data: A Multi-modal Deep Auto-encoder Approach,NASA electromechanical-actuator flight/test data / not C-MAPSS,anomaly detection and fault disambiguation,nominal training and laboratory validation across conditions,NR,unsupervised nominal-data autoencoder,injected/experimental faults,multi-modal deep autoencoder,false_alarms; fault_detection_rate,fault_detection_rate=0.978 (NASA electromechanical-actuator scenarios); false_alarms=0 (NASA electromechanical-actuator scenarios),NR; no Category A metric alignment,D,False,LIT-055-V01 p.1 Abstract and scenario results; LIT-055-V02 p.1 Abstract and scenario results,Sensor contribution method is relevant; numerical results are not comparable with FD002 alerts.
LIT-051,Aero-Engine Fault Detection with an LSTM Auto-Encoder Combined with a Self-Attention Mechanism,real piston aero-engine ECU time series / not C-MAPSS,aero-engine fault detection,normal training and fault evaluation; exact engine-disjoint status NR,NR,unsupervised normal-only reconstruction,experimental fault labels,LSTM autoencoder with self-attention,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,C,False,Full methodology/result/limitation sections; source SHA-256 e9d65906d8716bb8bc396da0c9bb24e8f5c7642a6a2c040ea1d835b9f78bd493,"Aero-engine anomaly intent aligns, but hardware, data, labels, split, and metrics are different."
